timestamp	step	epoch
1654424921744	0	1.0
1654424924139	1	2.0
1654424926537	2	3.0
1654424928955	3	4.0
1654424931383	4	5.0
1654424933797	5	6.0
1654424936200	6	7.0
1654424938599	7	8.0
1654424941018	8	9.0
1654424943450	9	10.0
1654424943452	10	10.0
